"iso","umd_tree_cover_extent_2000__ha","area__ha"
"ABW",24.95241082599934738,18197.51125791234791243
"AFG",205771.13369319935483552,64383654.925952495376651748
"AGO",55276134.72355040498320712,124691420.88166030432198058
"AIA",2110.91532384051313233,7987.97775556661868578
"ALA",107739.233939761311296320,150613.906303928488428938
"ALB",648459.393223114899700147,2872760.529881174971510151
"AND",18988.503269814785500149,45111.475244779835239135
"ARE",0.0,7109644.09880970536941062
"ARG",39069969.438545954538228585,277905833.693702086545834397
"ARM",336844.951003428776658480,2969017.196849295185875120
"ATF",71.636103116416558,4361.769312734865479
"ATG",19323.41796462197602580,43575.73205430712823297
"AUS",42281440.137706491376876446,768777178.546820895922548054
"AUT",4340283.612492128681599499,8394662.973578307694705192
"AZE",1268606.823907859812109341,8623525.918133138260823030
"BDI",537671.04512377625175131,2693527.44815250448691296
"BEL",865424.761899849482752960,3070743.958633879458294295
"BEN",168201.67128097997305395,11528631.55543044765438630
"BES",2432.08701945959734182,32365.98588800436333498
"BFA",130.29512281844887509,27294664.69043675700731712
"BGD",1938957.31015102270572131,13938387.26508110266464015
"BGR",4138949.863169261631515119,11158731.333753391613505807
"BHR",0.0,71472.44599568405092830
"BHS",303575.28764571292883414,1338765.35112317886091419
"BIH",2657979.783333911318403042,5106883.516049419099619806
"BLM",620.9244948224631876,2094.06479064154812095
"BLR",9118583.187990731659409384,20706903.172361909762960682
"BLZ",1751750.28283430411805772,2204340.93895907180172483
"BMU",604.79413164675993672,6808.37972630400733747
"BOL",64556285.12828971009719137,108437925.60069064434527354
"BRA",519056655.72103127463980633,850907198.47809286764026236
"BRB",5229.81107399683733506,43465.62098869874279082
"BRN",529332.45559192785226893,577739.67424525191277996
"BTN",2577237.82066236661222423,3876297.88713442805811222
"BWA",20328.48134775287058637,57788403.16154535446903381
"CAF",47073506.18381027504515360,62019966.24319904543531125
"CAN",418066874.806929220749569568,983422552.611249758702368709
"CHE",1543999.214933436769796751,4123525.837488899551370819
"CHL",19214324.090409007552698869,75231752.728030634480975487
"CHN",162873594.074644600099430329,935030049.539981443553475209
"CIV",14866947.38386320817502325,32154318.39587583868601430
"CMR",31459320.73391039550347975,46604029.74134724522822653
"COD",199272121.09946104305055143,232886907.14014908755203496
"COG",26388421.38069649054021612,34173270.65183669484204222
"COL",81854357.36656808068666556,113724053.71645834858811297
"COM",134784.16599877586134485,167304.82830117493206038
"CPV",14711.9078123316589307,818195.81320415980215
"CRI",3913125.53091939413447662,5117777.55523371144090464
"CUB",4014605.85438430136955725,11073123.12150135792146030
"CUW",5260.66776782064488434,43776.98739261384107347
"CYM",13458.39070137774226620,28039.82870751711636570
"CYP",89657.99670201488124090,571973.40478553916005064
"CZE",3080968.587160254590671344,7883737.228581696218029751
"DEU",12526018.416769884410270504,35782315.743850406944577365
"DJI",0.07522455290690104,2237201.88402379416447824
"DMA",70924.82609768678777755,75428.37478871906518806
