"drivers_type","loss_year","loss_area_ha","gross_carbon_emissions_Mg"
"Hard commodities",2001,65688.19158765205,29167724.570990473
"Logging",2001,4141070.476848806,1353161746.703869
"Other natural disturbances",2001,166473.66419231525,60270316.98168337
"Permanent agriculture",2001,5272816.590474259,2365796843.286265
"Settlements & Infrastructure",2001,161654.22630114888,55185122.941682726
"Shifting cultivation",2001,899106.8816931571,550671841.3071959
"Unknown",2001,121710.63318804311,36205518.74766336
"Wildfire",2001,2526277.7799749873,524545847.2374103
"Hard commodities",2002,79575.0095033298,36536381.53445063
"Logging",2002,4214381.656452821,1442210231.52517
"Other natural disturbances",2002,193380.8874350341,65724137.37583547
"Permanent agriculture",2002,6111491.318166273,2896712004.353685
"Settlements & Infrastructure",2002,159719.23426169224,56562669.05896324
"Shifting cultivation",2002,999865.4857368612,599630281.5280325
"Unknown",2002,100950.65805600287,30562178.37344472
"Wildfire",2002,4593372.207209772,1065870129.225958
"Hard commodities",2003,61756.78590517746,30373538.130424708
"Logging",2003,3457638.331445118,1214583629.7134197
"Other natural disturbances",2003,126000.77439460112,47513648.87200384
"Permanent agriculture",2003,5412324.594518074,2468762730.041216
"Settlements & Infrastructure",2003,139225.86050868957,49292005.3291936
"Shifting cultivation",2003,661077.8508207469,394124887.4840614
"Unknown",2003,67002.69421895743,20813625.77068266
"Wildfire",2003,4550295.131145185,934374789.0910681
"Hard commodities",2004,104969.96389598248,48087757.04300616
"Logging",2004,5574323.6744698845,2077887713.3133204
"Other natural disturbances",2004,253009.702074943,94621392.34815572
"Permanent agriculture",2004,7161292.235661326,3500860932.7757297
"Settlements & Infrastructure",2004,224778.6070437056,80747069.80647945
"Shifting cultivation",2004,864379.2898832128,530165119.3820241
"Unknown",2004,106860.1364242193,32195304.37441579
"Wildfire",2004,5619075.116862003,1250412510.2850864
"Hard commodities",2005,114382.81969629308,51933395.22829904
"Logging",2005,5527258.203899015,2052380359.6370206
"Other natural disturbances",2005,233741.29023034978,88737907.79346976
"Permanent agriculture",2005,7079586.72278319,3623637449.5276537
"Settlements & Infrastructure",2005,229699.06014863553,83090528.75377038
"Shifting cultivation",2005,919995.403190937,558541516.6661745
"Unknown",2005,92722.12108884328,29374895.70513014
"Wildfire",2005,3900922.34831651,1046151527.301148
"Hard commodities",2006,127182.7201752275,56577366.88703647
"Logging",2006,5417702.349237863,2084299717.7288566
"Other natural disturbances",2006,212022.0423159874,78712849.14368126
"Permanent agriculture",2006,6436604.405984449,3265909121.3322024
"Settlements & Infrastructure",2006,239502.35938794684,88547802.54360132
"Shifting cultivation",2006,963200.0111524429,586955109.1209986
"Unknown",2006,91177.04569996406,28858518.241991866
"Wildfire",2006,4162888.3548454195,1002533256.9581586
"Hard commodities",2007,161540.44003987976,74703519.59400536
"Logging",2007,5711491.086128417,2315180812.934617
"Other natural disturbances",2007,282953.66522299027,105859476.6634125
"Permanent agriculture",2007,6852277.936111822,3336619599.020407
"Settlements & Infrastructure",2007,241756.6243327801,91503605.5000233
"Shifting cultivation",2007,1070410.1103542433,646349816.0503838
"Unknown",2007,94995.76088233266,31078457.8823233
"Wildfire",2007,3972979.3056628588,1124423315.0680907
"Hard commodities",2008,160488.00399924626,73499471.57694146
"Logging",2008,5653916.940381389,2317489843.754905
"Other natural disturbances",2008,251758.17843309388,95457761.79162903
"Permanent agriculture",2008,6971178.871563865,3384192076.9349127
"Settlements & Infrastructure",2008,221996.33293892015,86307248.25240521
"Shifting cultivation",2008,965553.1569084029,577920688.7320896
"Unknown",2008,96070.4535042036,31509808.63283298
"Wildfire",2008,4290329.18348843,1017795446.2997557
"Hard commodities",2009,180765.36204548317,86444054.88936763
"Logging",2009,4912433.67474264,2025586449.0729904
"Other natural disturbances",2009,242364.6270606911,95657128.25231089
"Permanent agriculture",2009,7186464.414619784,3740957636.5424123
"Settlements & Infrastructure",2009,195512.34094684376,80058331.81036562
"Shifting cultivation",2009,1312971.844695574,810061595.7026514
"Unknown",2009,101211.27455053607,35740756.03101871
"Wildfire",2009,2860246.827748259,703371433.5335389
"Hard commodities",2010,173470.8634280756,82090078.21994649
"Logging",2010,5457520.249971824,2348163899.7695274
"Other natural disturbances",2010,288016.8615769147,110718731.0451668
"Permanent agriculture",2010,7365831.1271023955,3666238287.9332933
"Settlements & Infrastructure",2010,198327.27801794015,80754628.67078273
"Shifting cultivation",2010,1356713.9128276082,827689594.0205784
"Unknown",2010,113782.58216673747,40253975.1619751
"Wildfire",2010,3599847.1064636284,945167046.9803563
"Hard commodities",2011,207110.32200448916,109384163.37002063
"Logging",2011,5045633.341002466,2255658751.746869
"Other natural disturbances",2011,259457.58899942713,102074037.0105864
"Permanent agriculture",2011,6613373.81382149,3330257744.3730373
"Settlements & Infrastructure",2011,174548.4557240999,72737197.60715923
"Shifting cultivation",2011,955791.0431743354,577155472.4070182
"Unknown",2011,102816.34708141856,37766029.29971591
"Wildfire",2011,4220279.288142863,1160950542.8713963
"Hard commodities",2012,271770.90106388135,142149842.29673636
"Logging",2012,5896401.124516096,2620978391.8286753
"Other natural disturbances",2012,344851.6510199362,131405228.68221654
"Permanent agriculture",2012,8399230.441550337,4440533954.305924
"Settlements & Infrastructure",2012,198577.38631521963,82481668.86545715
"Shifting cultivation",2012,1294803.6822435863,792245136.9282401
"Unknown",2012,197780.47465336806,76087234.62040736
"Wildfire",2012,6929030.05350384,1715850544.905167
"Hard commodities",2013,156644.08988503844,78708664.79811291
"Logging",2013,4730433.112695866,2051833078.657374
"Other natural disturbances",2013,187523.86882740242,66506663.65006379
"Permanent agriculture",2013,5816683.82301354,2939232356.717789
"Settlements & Infrastructure",2013,135656.45712090103,54871814.2252093
"Shifting cultivation",2013,2343283.5427337084,1370587476.096177
"Unknown",2013,122171.2346823897,39897613.36049697
"Wildfire",2013,7150751.625465326,1654087340.7036834
"Hard commodities",2014,261740.52610842226,139289414.45246226
"Logging",2014,5532789.636804682,2530978686.76328
"Other natural disturbances",2014,262604.21090220584,108784825.85465468
"Permanent agriculture",2014,7892072.326149924,4103683911.415893
"Settlements & Infrastructure",2014,184229.40947290722,77747181.95201546
"Shifting cultivation",2014,3045053.6071240148,1786421677.8653178
"Unknown",2014,108606.52932758433,42139904.42315217
"Wildfire",2014,6445283.350731857,1606514504.738647
"Hard commodities",2015,196514.33397015996,101883251.65086167
"Logging",2015,5089789.847767208,2390960644.0203934
"Other natural disturbances",2015,190629.0831797531,83337481.78140312
"Permanent agriculture",2015,6046884.437286253,3151921678.4445863
"Settlements & Infrastructure",2015,144431.4653199552,60346040.773544654
"Shifting cultivation",2015,2639345.408078237,1549977920.3566804
"Unknown",2015,43988.19371285131,17321683.841098655
"Wildfire",2015,5270745.237705884,1663577951.627685
"Hard commodities",2016,283219.51835866185,144979153.2437095
"Logging",2016,6750041.319420016,3209075900.5693297
"Other natural disturbances",2016,457195.2032608346,194056429.64465153
"Permanent agriculture",2016,9199816.055117035,4845988284.180177
"Settlements & Infrastructure",2016,226633.41895115052,96519147.01185983
"Shifting cultivation",2016,3643278.2120360974,2179356402.857981
"Unknown",2016,53097.22010059843,20926573.256922387
"Wildfire",2016,9061482.53235763,2588099938.656164
"Hard commodities",2017,291930.3374664422,147593760.2263356
"Logging",2017,6974940.861572474,3283050911.187405
"Other natural disturbances",2017,986515.9703736408,413580698.31857175
"Permanent agriculture",2017,9260107.035943165,4758059313.589838
"Settlements & Infrastructure",2017,260654.37439634537,113054761.39261167
"Shifting cultivation",2017,3897914.2363382247,2309828317.9064345
"Unknown",2017,59394.633506442784,24422111.686927155
"Wildfire",2017,7646177.982067178,1843878238.7867513
"Hard commodities",2018,252629.41878702075,129257844.90583767
"Logging",2018,6423939.593088199,3039072905.68399
"Other natural disturbances",2018,891214.2340073624,367430689.3245595
"Permanent agriculture",2018,7379003.859426617,3839008031.4579577
"Settlements & Infrastructure",2018,195809.2746610181,84961274.4968269
"Shifting cultivation",2018,3223914.9517553817,1937288939.401372
"Unknown",2018,32228.603285245455,12988549.486143483
"Wildfire",2018,6351116.464483246,1421192921.2099383
"Hard commodities",2019,237029.31294774625,121698208.53870498
"Logging",2019,6218161.715038641,2810669291.213307
"Other natural disturbances",2019,268101.3904032932,110170338.75228186
"Permanent agriculture",2019,6855440.176442583,3614661139.5904527
"Settlements & Infrastructure",2019,178747.69521209455,77148892.44297908
"Shifting cultivation",2019,2977577.7064120667,1802010593.5155091
"Unknown",2019,33790.49282887049,13377600.628822483
"Wildfire",2019,7405274.610742083,1689430674.3501024
"Hard commodities",2020,230160.93599038068,116797505.81672263
"Logging",2020,5893768.435591003,2682454979.6337256
"Other natural disturbances",2020,324540.4062330826,124352680.5145684
"Permanent agriculture",2020,6906498.744072124,3661111946.0644283
"Settlements & Infrastructure",2020,173075.55721447867,76233431.9711635
"Shifting cultivation",2020,3127766.308341358,1910180684.249812
"Unknown",2020,39386.14578027374,15356807.130998911
"Wildfire",2020,9107623.966088416,1791377265.5991535
"Hard commodities",2021,225919.38241776673,118849507.10270867
"Logging",2021,5904990.101131461,2958734697.9491887
"Other natural disturbances",2021,213201.07617165142,90798906.2088546
"Permanent agriculture",2021,6677604.906533355,3642795359.321897
"Settlements & Infrastructure",2021,167239.81658821338,76386757.81694396
"Shifting cultivation",2021,2789007.968049568,1713552918.7579238
"Unknown",2021,36093.44804870904,15296848.9951804
"Wildfire",2021,9258718.3547502,1981955505.32053
"Hard commodities",2022,249209.08236045408,133156994.76243104
"Logging",2022,5753421.681291948,2872356838.36047
"Other natural disturbances",2022,181910.0779474161,86312655.77187626
"Permanent agriculture",2022,6980878.70645831,3903249215.113338
"Settlements & Infrastructure",2022,168454.3589348775,77829860.06440635
"Shifting cultivation",2022,2722703.0795203336,1708623856.61163
"Unknown",2022,33722.68022176359,14945077.070221277
"Wildfire",2022,6727674.998128805,1569653452.1081593
"Hard commodities",2023,313347.63701883476,169276193.8477506
"Logging",2023,5396464.790366466,2749701659.928921
"Other natural disturbances",2023,205036.11783428368,95719125.0802968
"Permanent agriculture",2023,7201040.2921958,3923792863.258124
"Settlements & Infrastructure",2023,159833.42922345438,75616753.4143287
"Shifting cultivation",2023,3007982.1588277286,1866497919.5229363
"Unknown",2023,17122.620533616544,8318967.863586864
"Wildfire",2023,11954647.122527339,4449940386.778088
"Hard commodities",2024,255353.69580180207,138303763.92714894
"Logging",2024,5258272.788312154,2669960489.8050213
"Other natural disturbances",2024,301895.31130146555,126191103.69468293
"Permanent agriculture",2024,6753910.324150007,3767524894.720193
"Settlements & Infrastructure",2024,159668.003085155,76046778.99622531
"Shifting cultivation",2024,2960954.847519841,1843239115.1915784
"Unknown",2024,27539.998833462938,12579001.319763701
"Wildfire",2024,13877289.998083517,4144058450.2770905
