iso,driver_code,pixel_count,area_ha,driver_label,dataset_name,dataset_version
ABW,6,10,1000.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
AFG,1,305,30500.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
AFG,2,4,400.0,shifting_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
AFG,4,381,38100.0,wildfire,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
AFG,5,173,17300.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
AFG,6,3,300.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
AFG,7,48,4800.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
AGO,1,297784,29778400.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
AGO,2,2053,205300.0,shifting_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
AGO,3,100251,10025100.0,forestry,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
AGO,4,8684,868400.0,wildfire,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
AGO,5,7533,753300.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
AGO,6,3910,391000.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
AGO,7,8805,880500.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
AIA,1,2,200.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
AIA,6,16,1600.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
ALA,1,16,1600.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
ALA,4,1282,128200.0,wildfire,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
ALA,5,3,300.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
ALA,6,36,3600.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
ALB,1,982,98200.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
ALB,2,390,39000.0,shifting_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
ALB,4,2902,290200.0,wildfire,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
ALB,5,4263,426300.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
ALB,6,832,83200.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
ALB,7,385,38500.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
AND,1,1,100.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
AND,4,16,1600.0,wildfire,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
AND,5,2,200.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
AND,6,39,3900.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
